                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1725,                0.77169,                0.88308,                0.53246,                0.41769,                0.43641,                0.26918,                 1.1609,                0.81864,                0.87909,               0.008812,               0.008812,               0.008812
                     38,                  1.169,                0.76785,                0.88275,                0.54004,                0.41843,                0.43471,                0.26621,                 1.1596,                0.81988,                0.87944,               0.008779,               0.008779,               0.008779
                     39,                 1.1687,                0.76777,                  0.882,                0.54905,                0.41894,                0.44007,                0.26883,                  1.158,                0.82366,                0.87941,               0.008746,               0.008746,               0.008746
                     40,                 1.1636,                0.76076,                0.88224,                0.54615,                0.42746,                0.44151,                0.26975,                 1.1554,                0.81762,                0.87867,               0.008713,               0.008713,               0.008713
                     41,                 1.1655,                0.75976,                0.88077,                 0.5587,                0.42118,                0.44269,                0.27072,                 1.1517,                0.81629,                0.87791,                0.00868,                0.00868,                0.00868
                     42,                 1.1545,                0.75208,                0.87981,                0.57205,                 0.4159,                0.44525,                 0.2738,                 1.1495,                0.81171,                0.87695,               0.008647,               0.008647,               0.008647
                     43,                 1.1516,                0.75045,                0.87821,                0.56423,                0.41661,                0.44245,                0.27324,                  1.153,                 0.8167,                0.87819,               0.008614,               0.008614,               0.008614
                     44,                 1.1477,                 0.7433,                0.87925,                0.57003,                0.41662,                 0.4416,                0.26975,                 1.1544,                0.81338,                0.87942,               0.008581,               0.008581,               0.008581
                     45,                 1.1558,                0.74808,                 0.8783,                0.57576,                0.41849,                0.44526,                0.27289,                 1.1538,                0.81378,                0.87846,               0.008548,               0.008548,               0.008548
                     46,                 1.1494,                0.74156,                0.87882,                0.56022,                0.42239,                0.44372,                0.27319,                 1.1502,                0.80916,                0.87843,               0.008515,               0.008515,               0.008515
                     47,                 1.1455,                0.74057,                0.87886,                0.57331,                0.42654,                0.44954,                0.27482,                 1.1581,                0.81037,                0.87901,               0.008482,               0.008482,               0.008482
                     48,                 1.1445,                0.73881,                 0.8781,                0.55492,                0.42876,                0.44566,                0.27267,                 1.1477,                0.80706,                 0.8791,               0.008449,               0.008449,               0.008449
                     49,                 1.1431,                0.73349,                0.87718,                0.56294,                0.42597,                0.44837,                0.27521,                 1.1442,                 0.8056,                0.87728,               0.008416,               0.008416,               0.008416
                     50,                  1.147,                0.73322,                0.87662,                0.55523,                0.43587,                0.45023,                0.27542,                 1.1459,                0.80595,                 0.8776,               0.008383,               0.008383,               0.008383
                     51,                 1.1403,                0.72587,                0.87635,                0.56744,                0.42785,                0.44803,                0.27523,                 1.1503,                0.80759,                0.87911,                0.00835,                0.00835,                0.00835
                     52,                 1.1281,                0.71857,                0.87614,                0.56084,                0.42909,                0.44997,                0.27584,                 1.1427,                0.80622,                0.87715,               0.008317,               0.008317,               0.008317
                     53,                 1.1322,                0.71936,                0.87431,                0.56895,                0.43095,                0.45209,                0.27539,                 1.1427,                0.80459,                 0.8773,               0.008284,               0.008284,               0.008284
                     54,                  1.138,                0.72439,                0.87528,                0.55798,                0.43372,                 0.4487,                 0.2755,                 1.1477,                0.80349,                0.87754,               0.008251,               0.008251,               0.008251
                     55,                 1.1324,                0.71859,                0.87432,                0.57106,                0.42882,                0.45092,                0.27697,                 1.1411,                0.80417,                0.87606,               0.008218,               0.008218,               0.008218
                     56,                 1.1292,                0.71288,                0.87396,                0.57088,                0.42313,                 0.4503,                0.27694,                 1.1434,                0.79951,                0.87685,               0.008185,               0.008185,               0.008185
                     57,                 1.1264,                0.71128,                0.87333,                0.56938,                0.42875,                0.44978,                 0.2764,                 1.1402,                0.79864,                0.87631,               0.008152,               0.008152,               0.008152
                     58,                 1.1245,                0.70571,                0.87357,                0.56211,                0.43355,                0.45256,                0.27745,                 1.1386,                0.80272,                0.87563,               0.008119,               0.008119,               0.008119
                     59,                 1.1209,                0.70691,                0.87366,                 0.5709,                0.42681,                0.45299,                0.27906,                 1.1434,                0.79921,                0.87606,               0.008086,               0.008086,               0.008086
                     60,                 1.1214,                0.70346,                 0.8729,                 0.5657,                0.43127,                 0.4508,                0.27802,                  1.135,                0.79854,                0.87493,               0.008053,               0.008053,               0.008053
